doy,y_1917,y_1919,y_1921,y_1923,y_1925,y_1927,y_1929,y_1931,y_1933,y_1935,y_1937,y_1939,y_1941,y_1943,y_1945,y_1947,y_1949,y_1951,y_1953,y_1955,y_1957,y_1959,y_1961,y_1963,y_1965,y_1967,y_1969,y_1971,y_1973,y_1975,y_1977,y_1979,y_1981,y_1983,y_1985,y_1987,y_1989,y_1991,y_1993,y_1995,y_1997,y_1999,y_2001,y_2003,y_2005,y_2007,y_2009,y_2011,y_2013,y_2015
190,282,1369,172,2571,1604,5068,5814,4150,3962,3775,1206,12904,1690,1214,3110,3333,2353,2768,1417,1805,3155,2783,1568,5181,1345,3338,3116,696,953,6553,4746,1932,2930,3616,19245,6398,3430,2486,2547,4861,1695,5102,5219,4026,965,3736,2814,9525,3257,4651
191,229,1207,74,1815,2018,3895,5325,2272,1306,4306,1087,8313,1306,1132,3431,2384,2435,2737,393,2365,2445,2962,1263,6241,1240,2811,3025,520,583,5086,3777,2092,2722,3120,14403,8666,3413,1989,2354,3842,2263,4612,3641,2215,1182,1888,1303,7848,2802,1020
192,221,1225,883,1672,788,4765,4913,1590,1344,3552,2086,11824,973,554,2846,1572,2299,1553,388,1944,1912,3533,917,4378,674,2426,2399,196,735,4971,2531,3274,2878,3942,12468,7715,2594,1619,1797,4356,3353,4823,3069,1634,199,720,1669,4432,1861,2001
193,132,844,327,1013,1525,4146,3362,7,471,1692,954,5668,618,520,3213,1774,984,2086,1557,1088,1632,3169,1288,5643,538,2764,2063,1325,524,2574,1422,1165,2425,3444,12498,4757,2671,753,1306,2503,1307,3599,1205,1102,585,2381,625,3294,406,3489
194,129,803,169,584,1349,3323,3767,582,1356,2586,1493,10299,183,514,2644,1291,642,1464,872,1158,623,1867,966,2973,467,588,1665,1213,796,1707,1347,146,2637,2389,7883,4774,1952,1347,1598,2444,862,3680,2798,2390,820,2046,342,3765,1445,1907
195,119,515,561,166,1025,3064,1435,1288,3449,1833,653,7283,118,454,1947,1860,668,1284,1165,1668,694,2855,880,3984,211,656,1528,1218,1132,813,779,171,2327,2746,3667,2528,1353,1603,1044,1006,1280,1908,627,902,1574,2362,432,3517,423,450
196,70,256,488,767,1152,2844,2561,474,536,3746,1573,9908,338,568,1498,1352,1547,1442,1091,1131,260,2174,73,4172,105,517,306,482,313,1103,309,1058,1268,1923,3479,1206,1043,1237,1506,1544,996,2977,823,510,748,61,458,2356,1447,59
197,95,139,743,602,115,2920,2709,1734,1338,1391,602,9175,229,205,1229,1258,205,1263,1255,1463,781,3371,2082,2579,205,339,675,326,1025,1097,445,4369,1914,2001,4221,2631,1935,341,166,1478,457,573,1272,507,96,1168,1055,567,1307,2428
198,58,202,463,190,772,2143,389,627,256,1962,1563,3177,101,382,754,379,843,815,404,796,1938,1052,498,2445,1614,443,606,1194,282,1763,155,2037,1508,985,1270,5480,1783,796,524,1669,1273,699,1402,1076,605,1223,1284,1691,806,1355
199,66,426,144,452,518,2016,2920,3622,1530,1246,689,4941,298,674,771,823,172,642,1404,1468,1401,2256,614,1517,1235,290,252,1140,1461,293,465,3943,641,1685,1600,2508,1123,569,221,916,364,993,2764,2334,295,1420,402,1419,69,230
200,19,195,551,440,220,554,1894,2515,3255,2798,445,3394,518,316,796,844,252,95,183,209,50,529,274,1604,928,789,506,85,1742,1587,264,2381,981,1739,2570,3943,2003,356,367,685,470,733,625,1854,544,1471,2003,121,301,3122
201,45,264,782,1241,899,1055,1128,3540,1170,173,547,4184,664,416,703,907,1607,1,1958,1006,1223,1064,761,2296,1286,910,179,715,256,322,144,667,804,1390,3021,3192,39,2000,1430,1204,462,743,2611,2936,258,120,357,1810,1314,3108
202,109,50,551,331,469,713,1884,2119,1029,1063,792,5591,62,563,418,1057,584,913,126,256,99,1839,124,1802,2073,503,242,711,660,511,919,3813,494,105,1932,1176,378,343,1454,558,874,603,823,1393,1435,1058,174,807,613,2074
203,91,336,495,1163,732,488,1003,2225,1093,192,1891,1120,134,394,423,535,64,503,721,58,632,1149,560,1692,333,1486,459,552,1669,794,1306,3575,163,255,5283,908,1006,3026,795,1285,583,309,1543,1288,1118,489,1604,159,1197,3612
204,3,402,863,740,294,1823,485,4002,1491,865,2850,3610,339,472,902,719,1678,2104,1422,171,1990,76,24,664,2254,1016,816,541,159,704,869,2459,1401,872,5364,1414,787,2668,1696,564,714,813,533,1922,1495,1912,1928,3794,1342,2108
205,42,323,116,632,116,1608,1337,175,2691,271,128,3943,180,189,179,1142,1544,1110,1339,406,1154,1381,544,562,765,767,985,1066,1014,1698,1341,620,818,2089,2821,2243,88,2933,902,255,582,2075,318,1099,191,528,391,2710,464,1927
206,154,105,681,1466,432,1092,707,942,1809,1426,386,1215,264,604,246,504,1273,1920,1234,1534,5,350,1408,2212,1278,480,687,648,239,1167,201,881,758,490,5944,1346,885,1121,1497,2021,1486,30,1829,465,1490,909,909,1032,170,3575
207,119,82,332,1365,618,1669,1541,820,2688,474,2679,2624,539,189,124,741,562,1094,779,861,190,675,788,1756,113,351,678,560,1454,1101,1600,3202,1197,378,1022,1978,1965,52,63,853,857,1697,9,1337,1576,395,92,2569,285,1581
208,16,66,50,66,723,1273,67,1863,1578,2247,2288,4136,381,616,398,975,464,728,511,1861,970,693,455,1575,1247,914,725,218,1080,1782,2016,1190,219,99,358,1918,124,3011,1321,189,474,812,305,48,625,1505,404,1707,922,705
209,133,196,69,675,1053,1446,663,1846,2868,2183,17,4678,25,79,155,606,524,2117,993,1773,49,986,967,709,616,872,508,560,169,1696,1261,2750,1203,502,5997,1648,238,2554,2008,1957,806,253,254,1665,675,2542,1258,1570,37,3878
210,117,386,118,656,747,703,1721,2858,2413,1797,2341,3166,253,86,40,456,621,1201,726,570,1044,799,362,461,2331,978,231,937,1170,1728,358,3153,63,1011,2420,2211,1632,720,410,831,91,1903,2828,2691,30,194,791,2150,481,603
